laptop_title,asin,id,Performance,Build quality,Battery life,Display,Gaming,Graphics,Sound,Fans,Cooling system,Weight,Price
ALIENWARE M15 15.6" GAMING NOTEBOOK - 1920 X 1080 - CORE I7 I7-8750H - 16 GB RAM - 512 GB SSD - EPIC SILVER - WINDOWS 10 HOME 64-BIT - NVIDIA GEFORCE RTX 2070 WITH 8 GB - IN-PLANE SWITCHING (IPS),b07tl5qb92,25,0.3696447,0.5571895,-0.150225,0.6401164,0.6830289,0.7009634,0.3210655,0.1917525,0.728904,0.2842193,0.2095701
"LENOVO LEGION Y520 15.6 INCH FHD GAMING LAPTOP COMPUTER (INTEL CORE I5-7300HQ, NVIDIA GEFORCE GTX 1050 TI 4GB, 8GB RAM, 256GB PCIE SSD, WINDOWS 10) 80WK00FHUS",b06wvmj713,26,0.3157396,0.2017896,0.1606388,0.0001457,0.5549061,0.7618838,-0.0217598,0.9699592,0.7826449,0.4067943,0.6459367
"DELL 15.6-INCH GAMING LAPTOP (6TH GEN INTEL QUAD-CORE I5-6300HQ PROCESSOR UP TO 3.2GHZ, 8GB DDR3, 256GB SSD, NVIDIA GEFORCE GTX 960M, WINDOWS 10)",b015pyydmq,27,0.4523863,0.2961139,0.3945007,0.2106061,0.545869,0.3902223,0.2924217,0.4495324,0.5177084,0.4248457,0.5827684
"ASUS ROG Zephyrus S17 (2021) Gaming Laptop, 17.3? 165Hz QHD Display, NVIDIA GeForce RTX 3080, Intel Core i9-11900H, 32GB DDR4, 2TB SSD, Per-Key RGB Keyboard, Thunderbolt 4, Windows 10, GX703HS-XB98",b096v9pfv3,28,0.1627104,-0.144748,-0.3066953,-0.3962066,-0.0504761,-0.4242938,-0.996291,-0.9413648,-0.2645118,0.527131,-0.3241031
"HP ENVY 17T TOUCH 2019 MODEL, INTEL CORE I7-8565U QUAD CORE, 512GB SSD, 16GB RAM, WIN 10 PRO INSTALLED,17.3 FHD WLED TOUCH, NVIDIA 4GB DDR5 MX250 (2018 17T)",b07fp1qj5p,29,0.55456,0.4129865,-0.093053,0.6885094,0.7853835,0.9973137,0.878992,-0.886557,-0.793173,-0.1207918,0.2572233
"HP 14-INCH CHROMEBOOK (NVIDIA TEGRA K1 PROCESSOR, 2GB RAM, 16GB SDD, CHROME OS), OCEAN TURQUOISE - CERTIFIED REFURBISHED",b011jbhfv0,30,-0.6731972,-0.593776,-0.9408755,-0.3635012,0,0,0,0,0,0,-0.3280928
"ASUS ROG Zephyrus Duo SE 15 Gaming Laptop, 15.6? 300Hz IPS Type FHD Display, NVIDIA GeForce RTX 3060, AMD Ryzen 9 5980HX, 16GB DDR4, 1TB PCIe SSD, Per-Key RGB Keyboard, Windows 10 Home, GX551QM-ES96",b0762s8pym,31,0.1271886,0.1807298,0.055429,-0.0233,0.3315675,0.2724744,-0.2643811,-0.1338621,0.161818,0.5585766,0.4448592
"DELL ALIENWARE R4 15.6"" FULL HD GAMING LAPTOP, 8TH GEN INTEL CORE I7-8750H, 16GB MEMORY, 1TB HDD + 8GB SSD, NVIDIA GEFORCE GTX 1060 6GB, WINDOWS 10",b07bpqy9q8,32,-0.128008,0.3730978,-0.5481435,-0.4846056,0.0969581,-0.0850083,0.130745,0.982132,-0.4524867,-0.2697282,0.3840941
"ALIENWARE AW17R4-7345SLV-PUS 17"" LAPTOP (7TH GENERATION INTEL CORE I7, 16GB RAM, 1TB HDD, SILVER) VR READY WITH NVIDIA GTX 1070",b01n0thp9l,33,0.1473569,-0.3099914,-0.0580303,-0.4445296,0.1385917,0.1099583,-0.186396,0.0329715,0.2105466,0.277919,0.0026003
"ALIENWARE 17 ANW17-2136SLV 17 INCH LAPTOP (2.50GHZ INTEL CORE I7 4710HQ PROCESSOR, 8GB MEMORY 1TB HDD NVIDIA GEFORCE GTX 970M 3 GB GDDR5 WINDOWS 8.1 64-BIT) [DISCONTINUED BY MANUFACTURER]",b00sijgoeg,34,0.5285926,0.3157476,0.4001461,0.4082891,0.4990427,0.6870173,0.5026144,0.2867725,0.1109482,0.5277265,0.4859249
"ALIENWARE AW13R3-75291SLV-PUS 13.3"" GAMING LAPTOP (7TH GENERATION INTEL CORE I5, 8GB RAM, 256 SSD, SILVER) WITH NVIDIA GTX 1050TI",b01ncooyyx,35,-0.0565188,-0.0641175,-0.6949901,-0.113685,0.1184182,-0.1048563,-0.1563844,0.0596526,-0.3822644,0.1056683,-0.1654627
"ACER PREDATOR HELIOS 300 GAMING LAPTOP, INTEL I7-10750H, NVIDIA GEFORCE RTX 2060 6GB, 15.6"" FULL HD 144HZ 3MS IPS DISPLAY, 16GB DUAL-CHANNEL DDR4, 512GB NVME SSD, WI-FI 6, RGB KEYBOARD, PH315-53-72XD",b08842d7js,36,0.5210496,0.3542161,-0.1247554,0.4106535,0.5980737,0.5920983,-0.0494929,0.0360324,0.2740057,0.3835552,0.6515504
"RAZER BLADE STEALTH 13 ULTRABOOK LAPTOP: INTEL CORE I7-8565U 4-CORE, NVIDIA GEFORCE MX150, 13.3"" FHD 1080P, 16GB RAM, 256GB SSD, CNC ALUMINUM, CHROMA RGB LIGHTING, THUNDERBOLT 3, BLACK",b07l39ph24,37,0.1293178,0.0319227,-0.1337128,0.2441705,0.2030399,0.2923664,-0.3484033,-0.0539108,0.174828,0.4664885,0.0449591
"ASUS ROG GL502VS-DB71 15.6"" FULL­HD GAMING LAPTOP, INTEL CORE I7­6700HQ, NVIDIA GTX 1070, 256GB PCIE SSD+1TB HDD, WINDOWS 10, BLACK",b01k1inyd0,38,0.2044687,0.0571368,-0.3588232,0.0404925,0.2310773,0.0303392,0.0917566,0.0395057,0.0263582,0.2498036,0.1736978
"ACER 2023 NEWEST PREDATOR TRITON GAMING LAPTOP, 16"" 240HZ DISPLAY, INTEL CORE I7 12700H PROCESSOR, NVIDIA GEFORCE RTX 3060 GRAPHICS, 16GB DDR5 RAM, 1TB SSD, BACKLIT KEYBOARD, WINDOWS 11 HOME, SILVER",b014vbyyy6,39,0.3051152,0.2961627,-0.1756704,0.2667437,-0.0023309,0,0.3366047,0,0,0.295199,0.7799785
"ALIENWARE 15 R3 AW15R3 LAPTOP WITH QUAD-CORE I7-6700HQ UP TO 3.50 GHZ TURBO, 16GB DDR4, 128SSD + 1TB HDD, AND NVIDIA GEFORCE GTX1060 6GB GDDR5 (BLACK)",b01ly2i7b6,40,0.098395,-0.0736632,-0.7141686,0.1866291,0.3925472,0.0774528,-0.1065628,0.1982064,-0.0119555,0.36032,-0.5634345
"ACER ASPIRE 5 A515-51G-53V6, 15.6"" FULL HD, 8TH GEN INTEL CORE I5-8250U, ALEXA BUILT-IN, NVIDIA GEFORCE MX150, 8GB DDR4, 256GB SSD, OBSIDIAN BLACK",b07brgr426,41,0.5826335,0.5837669,0.273602,-0.0471258,0.7030671,0.867603,0.9779917,-0.089561,0.4280717,0.6681464,0.7548421
"DELL G7 17 GAMING LAPTOP (WINDOWS 10 HOME, 9TH GEN INTEL CORE I7-9750H, NVIDIA GTX 1660 TI 6G, 17.3"" FHD LCD SCREEN, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS",b07rcp7zv8,42,-0.0528593,-0.1924973,-0.5095586,0.009804,0.1420932,0.2248934,0.0593367,-0.7480631,-0.5004424,0.2244369,0.0272147
"DELL XPS 17 9710, 17 INCH FHD+ LAPTOP - INTEL CORE I7-11800H,16GB DDR4 RAM, 1TB SSD, NVIDIA GEFORCE RTX 3050 4GB GDDR6, WINDOWS 11  HOME + 1  YEAR PREMIUM SUPPORT  - PLATINUM SILVER",b09dfbbgc3,43,0.2203335,0.3220801,0.7069296,0.3166184,0.3577734,0.7362255,0.3693363,0,0,0.2526138,0.2536783
"DELL INSPIRON 15 5000 LAPTOP, 15.6-INCH FHD (1920 X 1080) IPS, INTEL I7-8565, NVIDIA(R) GEFORCE(R) MX250 WITH 2GB GDDR, 8GB DDR4 RAM, 128 GB SSD+1TB HD",b07pzq9lsn,44,0.4041808,0.6083955,0.8773933,0.5522911,0.783667,0.9771865,0.3091703,0.963905,0,0.9786,0.5854364
"NEW DELL XPS 15 9500 15.6 INCH UHD+ TOUCHSCREEN LAPTOP (SILVER) INTEL CORE I7-10750H 10TH GEN, 16GB DDR4 RAM, 1TB SSD, NVIDIA GTX 1650 TI WITH 4GB GDDR6, WINDOW 10 PRO (XPS9500-7845SLV-PUS)",b0897wzsz6,45,-0.262785,-0.0663136,-0.3246047,0.0136469,0.4131538,-0.78288,-0.9783763,-0.5281338,-0.5975318,0.0201685,-0.6889986
